delta_max,delta_mean,delta_p95,frame,jerk_p95,kind,n_exec,overlap_disagree_max,policy,seam_jump_max,spread_max,spread_mean,spread_step0_max
5.978022,0.33392408,1.8461533,,,intra,,,dataset_gt,,,,
6.1810455,0.2493421,1.2529274,428,0.6543225,seam,8,2.092636,act,1.8458862,,,
6.1810455,0.2493421,1.2529274,428,0.6543225,seam,16,2.3051548,act,2.607851,,,
6.1576157,0.4972021,2.3636992,58,0.8659928,seam,8,1.4318619,act,1.2341995,,,
6.1576157,0.4972021,2.3636992,58,0.8659928,seam,16,12.04345,act,10.915751,,,
7.6217575,0.92660964,3.9982872,375,1.4473236,seam,8,2.5802765,act,5.470421,,,
7.6217575,0.92660964,3.9982872,375,1.4473236,seam,16,4.9297028,act,6.606491,,,
8.732561,0.7886783,2.820615,938,1.7662984,seam,8,1.7642975,act,2.8523483,,,
8.732561,0.7886783,2.820615,938,1.7662984,seam,16,3.4482574,act,4.4248047,,,
2.787094,0.31789872,1.2857056,729,0.5684468,seam,8,1.2775345,act,1.5790672,,,
2.787094,0.31789872,1.2857056,729,0.5684468,seam,16,1.5288429,act,1.6228981,,,
2.486187,0.20697862,0.8423934,829,0.7033044,seam,8,2.2011414,act,3.024498,,,
2.486187,0.20697862,0.8423934,829,0.7033044,seam,16,3.1257439,act,4.0402985,,,
2.7210999,0.34702292,1.3847685,1321,0.7428653,seam,8,0.55693436,act,0.93616486,,,
2.7210999,0.34702292,1.3847685,1321,0.7428653,seam,16,0.82375145,act,0.95648956,,,
2.490965,0.051913988,0.15512717,1554,0.15605445,seam,8,0.48952484,act,0.5563431,,,
2.490965,0.051913988,0.15512717,1554,0.15605445,seam,16,0.63892365,act,0.66832733,,,
2.3287725,0.28465834,1.2393744,1286,0.57517004,seam,8,1.2400589,act,1.235405,,,
2.3287725,0.28465834,1.2393744,1286,0.57517004,seam,16,1.4673958,act,1.8496971,,,
7.929512,0.5502721,2.2813683,1664,0.8707047,seam,8,0.8820114,act,0.75862885,,,
7.929512,0.5502721,2.2813683,1664,0.8707047,seam,16,6.495064,act,4.809784,,,
5.9902916,0.79919046,3.2670953,1961,1.2546179,seam,8,4.7504196,act,6.223057,,,
5.9902916,0.79919046,3.2670953,1961,1.2546179,seam,16,3.7586899,act,5.735979,,,
4.9692,0.5214129,2.1818578,1902,0.7886675,seam,8,1.8721161,act,2.0979538,,,
4.9692,0.5214129,2.1818578,1902,0.7886675,seam,16,2.0862942,act,2.1853123,,,
4.6080008,0.37431675,1.5881251,2295,0.7667142,seam,8,0.99684906,act,0.96061325,,,
4.6080008,0.37431675,1.5881251,2295,0.7667142,seam,16,1.0869694,act,1.1701965,,,
2.0519447,0.25876683,1.1663944,2407,0.530114,seam,8,1.2357254,act,0.99655914,,,
2.0519447,0.25876683,1.1663944,2407,0.530114,seam,16,2.9080057,act,2.9984837,,,
3.2662964,0.18569458,0.6222656,2238,0.52399254,seam,8,3.0882587,act,2.0324802,,,
3.2662964,0.18569458,0.6222656,2238,0.52399254,seam,16,2.8309517,act,2.6921272,,,
3.8214722,0.7105316,3.0182877,428,0.51644707,seam,8,1.2091141,ddim10,3.2646637,,,
3.9643707,0.7231217,3.2198334,428,0.51664287,seam,16,1.6079865,ddim10,2.810379,,,
4.4710693,0.64791787,2.5135956,58,0.51935786,seam,8,11.00242,ddim10,8.22417,,,
4.6362305,1.0768329,3.238181,58,0.36442047,seam,16,34.56447,ddim10,31.961227,,,
2.6116447,0.85757643,2.1925201,375,0.42245314,seam,8,1.262516,ddim10,2.6118622,,,
2.8039703,0.86246324,2.1865864,375,0.48432314,seam,16,5.4044266,ddim10,7.8344917,,,
4.035797,0.69542164,1.8063364,938,0.47976652,seam,8,1.7104034,ddim10,1.9064484,,,
3.0893173,0.6716925,1.6339684,938,0.42409328,seam,16,1.6658516,ddim10,2.8199806,,,
0.6620941,0.13412204,0.40976715,729,0.20117265,seam,8,1.5065994,ddim10,1.7648621,,,
0.6621704,0.13808095,0.37936592,729,0.31799817,seam,16,1.6079102,ddim10,1.5434494,,,
1.5332718,0.3091438,1.1544552,829,0.2448521,seam,8,4.18454,ddim10,3.0288544,,,
1.3214188,0.28582576,0.9846287,829,0.36025262,seam,16,3.8755188,ddim10,2.9813461,,,
1.7633209,0.24272051,1.0548825,1321,0.27922747,seam,8,1.4575043,ddim10,0.7216034,,,
1.7087059,0.30811664,1.1149087,1321,0.6119194,seam,16,1.4972916,ddim10,1.164299,,,
1.1982775,0.12327593,0.44441223,1554,0.2222251,seam,8,0.66918945,ddim10,0.48139954,,,
2.015998,0.17650284,0.48002815,1554,0.46770683,seam,16,1.8569908,ddim10,1.3802757,,,
0.73719025,0.16384271,0.58135414,1286,0.20542337,seam,8,1.4127045,ddim10,1.8944016,,,
0.634964,0.15994002,0.48982048,1286,0.29496005,seam,16,0.89320374,ddim10,0.972023,,,
4.615143,1.1668289,3.718728,1664,0.53200877,seam,8,9.969879,ddim10,8.134735,,,
4.4533463,1.1774961,3.7406101,1664,0.5528909,seam,16,42.14993,ddim10,38.033886,,,
2.0593414,0.502961,1.5527172,1961,0.26869705,seam,8,4.6879807,ddim10,6.27491,,,
3.0188904,0.63289654,1.9621973,1961,0.30584034,seam,16,1.7305107,ddim10,2.937275,,,
1.3640518,0.19121552,0.6395483,1902,0.3041782,seam,8,2.086113,ddim10,2.28125,,,
1.6824493,0.18854986,0.6455536,1902,0.31096146,seam,16,1.8393173,ddim10,1.9487,,,
1.1216278,0.1805367,0.67307854,2295,0.42798215,seam,8,1.400589,ddim10,1.411499,,,
0.85939026,0.15744218,0.5235863,2295,0.44711992,seam,16,2.5587769,ddim10,2.1678085,,,
1.7297649,0.205498,0.6580353,2407,0.37953296,seam,8,2.2162628,ddim10,1.8778763,,,
2.5759811,0.22932874,0.7499275,2407,0.4239594,seam,16,1.1928372,ddim10,1.191781,,,
1.1583252,0.23811369,0.61906624,2238,0.17659493,seam,8,2.987442,ddim10,3.1211853,,,
1.1412506,0.22774832,0.6140239,2238,0.17490274,seam,16,1.7021561,ddim10,1.4384918,,,
,,,58,,resample,,,ddim10,,17.92965,3.227277,1.6302314
,,,375,,resample,,,ddim10,,3.273634,1.1923805,1.8050354
,,,428,,resample,,,ddim10,,4.312322,0.6347558,1.9453362
,,,729,,resample,,,ddim10,,0.6930984,0.29863667,0.47507966
,,,829,,resample,,,ddim10,,2.0527363,0.55552834,1.0705254
,,,938,,resample,,,ddim10,,4.7906117,0.67753,0.637436
,,,1286,,resample,,,ddim10,,0.86148626,0.41826805,0.40388736
,,,1321,,resample,,,ddim10,,2.9150786,0.574749,0.8948836
,,,1554,,resample,,,ddim10,,2.9380677,0.34504452,2.3865037
,,,1664,,resample,,,ddim10,,20.630814,5.249916,1.3665787
4.083893,0.735293,3.2190619,428,0.6429616,seam,8,3.0961227,ddim50,4.884247,,,
4.0885773,0.720309,2.9935722,428,0.495678,seam,16,0.8576088,ddim50,1.4565887,,,
3.981926,1.0782743,3.3309832,58,0.44490185,seam,8,11.1035,ddim50,9.108383,,,
4.2521286,1.045715,3.5653086,58,0.4494324,seam,16,24.168365,ddim50,21.4552,,,
2.498619,0.84149367,2.1472826,375,0.3999079,seam,8,1.3880539,ddim50,3.261879,,,
2.5158615,0.8732661,2.1450882,375,0.39469683,seam,16,2.5267258,ddim50,4.802334,,,
3.6721191,0.66484654,1.6575804,938,0.40216848,seam,8,1.0251999,ddim50,1.483902,,,
4.428871,0.74120593,2.4751225,938,0.46115562,seam,16,1.3607597,ddim50,1.009613,,,
0.6830292,0.14372253,0.41546822,729,0.21382679,seam,8,1.5192871,ddim50,1.6545715,,,
0.45426178,0.12180187,0.36528587,729,0.16871835,seam,16,2.2734833,ddim50,2.0191193,,,
1.7901306,0.34841287,1.4174004,829,0.27541512,seam,8,2.8052673,ddim50,1.7647171,,,
1.8413544,0.35715613,1.3648462,829,0.32372037,seam,16,4.671753,ddim50,3.3785934,,,
2.0265884,0.25379264,1.0537963,1321,0.3416546,seam,8,4.213827,ddim50,3.2249146,,,
1.4184132,0.24657461,1.0199366,1321,0.30827647,seam,16,1.2753525,ddim50,1.1566162,,,
2.1651487,0.14383684,0.38607693,1554,0.3927857,seam,8,2.2715425,ddim50,2.2295036,,,
1.9984446,0.13851786,0.4179088,1554,0.2615374,seam,16,1.504612,ddim50,1.3552201,,,
0.5890198,0.16592644,0.4836626,1286,0.21955721,seam,8,1.4108429,ddim50,1.4342728,,,
0.68956757,0.15666313,0.55513,1286,0.22355808,seam,16,0.49799728,ddim50,0.7924576,,,
4.2959595,1.0816187,3.6873932,1664,0.5608967,seam,8,7.071121,ddim50,5.867676,,,
4.8077545,0.89394647,3.8253584,1664,0.626994,seam,16,10.193954,ddim50,8.647675,,,
2.6577225,0.58083576,1.6225939,1961,0.30711824,seam,8,1.9347305,ddim50,3.2460022,,,
2.82695,0.60011625,1.8174505,1961,0.32955864,seam,16,2.5766296,ddim50,3.9659767,,,
2.224352,0.21565607,0.5980921,1902,0.44404146,seam,8,2.2202988,ddim50,2.6052322,,,
1.435379,0.19751714,0.6850004,1902,0.23634613,seam,16,0.7880783,ddim50,0.9301834,,,
1.2773209,0.2233534,0.8451042,2295,0.4029301,seam,8,2.7326584,ddim50,2.0226974,,,
1.0562363,0.16502032,0.6672573,2295,0.22897951,seam,16,1.7784042,ddim50,1.4183121,,,
2.6722097,0.2422423,0.7822075,2407,0.3413678,seam,8,2.1571655,ddim50,1.6919479,,,
2.637907,0.21270677,0.6521683,2407,0.232853,seam,16,0.81895447,ddim50,0.7487488,,,
1.2462997,0.24030858,0.6498356,2238,0.24579546,seam,8,1.2735367,ddim50,1.5073547,,,
1.367363,0.27061084,0.7390113,2238,0.422115,seam,16,1.5480499,ddim50,1.7264404,,,
,,,58,,resample,,,ddim50,,20.503035,5.0197835,4.356468
,,,375,,resample,,,ddim50,,2.84232,0.9764063,1.5630128
